﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007805","The University of Strathclyde","105,555,035.000","22,614.000","0.000","147,886.000","121,884.000"
"10014001","University of Suffolk","3,931,052.680","216.550","0.000","30,415.000","41,293.000"
"10007159","The University of Sunderland","21,483,499.000","6,759.950","0.000","67,918.000","95,859.000"
"10007160","The University of Surrey","75,021,896.000","41,449.000","0.000","275,186.000","220,304.000"
"10007806","The University of Sussex","67,134,948.800","2,948.051","0.000","357,585.400","756,204.200"
"10007855","Swansea University","62,832,326.000","2,339.000","0.000","221,705.000","876,577.000"
"10007161","Teesside University","27,253,288.000","4,573.305","0.000","66,592.000","88,862.000"
"10008017","Trinity Laban Conservatoire of Music and Dance","4,006,758.190","715.680","0.000","10,472.304","0.000"
"10007858","University of Wales Trinity Saint David","19,184,022.460","16,986.980","0.000","38,710.310","92,313.000"
"10007807","Ulster University","48,428,208.000","13,000.000","748,886.000","58,349.000","3,143,735.000"
"10007784","University College London","234,193,323.893","4,427.280","0.000","345,245.000","122,250.000"
"10007793","University of South Wales","29,932,866.630","7,320.890","0.000","88,940.000","46,549.000"
"10007163","The University of Warwick","168,134,828.963","43,734.470","5,027.000","538,453.007","710,882.190"
"10007164","University of the West of England, Bristol","59,682,855.270","49,762.090","0.000","235,029.000","458,329.270"
"10007800","The University of the West of Scotland","15,805,665.220","2,967.000","0.000","47,913.360","8,902.000"
"10006566","The University of West London","11,905,269.000","3,170.736","0.000","28,190.070","1,904,797.000"
"10007165","The University of Westminster","33,345,861.000","0.000","0.000","122,162.000","0.000"
"10003614","The University of Winchester","10,932,062.000","4,573.000","0.000","51,842.000","158,825.000"
"10007139","University of Worcester","14,778,186.000","10,011.000","41,788.000","48,500.000","163,377.000"
"10007833","Wrexham University","10,407,853.000","4,388.000","83,683.000","23,043.000","83,683.000"
"10007713","York St John University","8,173,532.790","2,283.000","1,767.011","62,699.000",""
"10007167","The University of York","102,506,935.977","38,315.000","0.000","316,742.662","1,898,194.300"
